movie_id,budget_x,revenue,genre,status,score
1,75000000,271616668,"Drama, Action", Released,73
2,460000000,2316794914,"Science Fiction, Adventure, Action", Released,78
3,100000000,724459031,"Animation, Adventure, Family, Fantasy, Comedy", Released,76
4,12300000,34200000,"Animation, Comedy, Family, Adventure, Fantasy", Released,70
5,77000000,340941958.6,Action, Released,61
6,35000000,80000000,"Thriller, Comedy, Crime", Released,66
7,100000000,351349364,"Action, Thriller, Crime", Released,80
8,90000000,483480577,"Animation, Family, Fantasy, Adventure, Comedy", Released,83
9,71000000,254946484.2,"Action, Science Fiction", Released,59
10,119200000,488962491,"Action, Drama, Horror, Science Fiction, Thriller", Released,58
11,100000,3200000,"Horror, Thriller", Released,58
12,12000000,428214478,Horror, Released,55
13,43800000,489543087.4,"Comedy, Mystery, Action", Released,65
14,250000000,854041058,"Action, Adventure, Science Fiction", Released,73
15,92000000,462216471.8,"Horror, Mystery", Released,72
16,77600000,562112551,"Drama, History", Released,62
17,20000000,54629497,"Thriller, Mystery, Horror, Fantasy", Released,64
18,54060000,492646395.4,"Horror, Thriller", Released,65
19,110400000,318117812.6,Thriller, Released,57
20,123500000,420430064.8,"War, Action, Adventure, Thriller", Released,65
21,82600000,473097256.6,"Animation, Adventure, Family, Fantasy", Released,73
22,25000000,51000000,"Action, Adventure, Thriller", Released,69
23,25000000,622313635,Drama, Released,74
24,145760000,321934831.2,"Animation, Fantasy, Horror, Action, Mystery", Released,64
25,125000000,132107025,"Action, Comedy, Fantasy", Released,69
26,54060000,492646395.4,"Horror, Thriller", Released,65
27,10000,17887093.8,"Action, Science Fiction, Thriller, Horror", Released,53
28,200000000,391261706,"Action, Adventure, Science Fiction, Fantasy", Released,71
29,68500000,280052393,Documentary, Released,58
30,12000000,167643991,"Science Fiction, Horror, Comedy", Released,74
31,200000000,466001332,"Science Fiction, Adventure, Action", Released,63
32,73800000,370426090.8,"Thriller, Action", Released,62
33,113000000,369995579.2,"Action, Comedy, Thriller", Released,62
34,2480000,1891519,"Drama, Horror", Released,55
35,146740000,301123555.2,Horror, Released,60
36,40000000,171539887,"Action, Thriller, Crime", Released,73
37,81800000,408307377.8,"Horror, Thriller", Released,63
38,116000000,378399280.8,"Action, Thriller", Released,54
39,16050000,4495365,"Action, Comedy, Romance", Released,63
40,55000000,326709727,"Action, Thriller, Crime", Released,74
41,113400000,778431865.2,"Animation, Action, Science Fiction", Released,63
42,3000000,16120263,"Thriller, Drama", Released,73
43,1000000,22790427.2,Action, Released,52
44,141340000,748525217.4,"Thriller, Action, Drama, Crime", Released,60
45,3000000,36752010,Drama, Released,81
46,27240305,37655699,"Horror, Thriller", Released,71
47,115000000,484414431,"Crime, Drama, Thriller", Released,62
48,25000000,13276499,"Family, Comedy, Fantasy", Released,68
49,97200000,425726914.4,"Animation, Family, Comedy", Released,52
50,15800000,503063688,"Animation, Action, Adventure, Fantasy, Thriller", Released,83
51,135000000,670271186.2,"Drama, Horror, Mystery", Released,58
52,122400000,344127931.8,"Thriller, Horror", Released,55
53,66240000,580188584,"Science Fiction, Action, Adventure", Released,63
54,50000000,108973274,"Comedy, Drama", Released,79
55,51880004,9263009,Comedy, Released,68
56,150000000,158598670,"Adventure, Fantasy, Comedy", Released,76
57,121400000,977795653.4,"Fantasy, Action, Adventure, Thriller", Released,68
58,90000000,405421518,"Action, Adventure, Family, Comedy", Released,76
59,10000000,17287898,"Drama, Crime", Released,78
60,95200000,416119951.4,"Animation, Family, Adventure, Comedy", Released,65
61,127000000,533207056.8,Music, Released,73
62,89600000,318375960.2,"Comedy, Drama, Romance", Released,60
63,170000000,1481369482,"Action, Drama", Released,83
64,147400000,445526734.8,"Drama, Thriller", Released,65
65,1000000,102414815.2,"War, Drama", Released,76
66,1261569,102023958,"Action, Crime, Drama, Thriller", Released,74
67,21680000,1228459,"Crime, Action", Released,57
68,35000000,167273149,"Horror, Mystery, Thriller", Released,73
69,237000000,2923706026,"Action, Adventure, Fantasy, Science Fiction", Released,76
70,72000000,318039059.2,"Crime, Drama, Thriller", Released,67
71,172000000,594334899,"Thriller, History, Drama", Released,78
72,45000000,56072012,"Thriller, Science Fiction, Action", Released,63
73,250000000,760928081,"Fantasy, Action, Comedy", Released,66
74,147200000,872776677.4,"Science Fiction, Thriller", Released,47
75,250000,12964783,Horror, Released,69
76,30000000,75958800,"Action, Thriller", Released,74
77,200000000,1910048245,"Action, Adventure, Science Fiction", Released,80
78,52000000,539054106.6,"Action, Comedy, Fantasy, Crime", Released,66
79,115000000,489779661,"Animation, Adventure, Fantasy, Comedy", Released,65
80,35000000,81567666.2,"Animation, Fantasy, Drama, Music", Released,82
81,113880000,604874932.2,"Animation, Adventure, Comedy, Family", Released,79
82,43602530.2,86562140,"Animation, Science Fiction, Action", Released,79
83,112000000,586323916.4,"Mystery, Thriller, Horror", Released,63
84,65000000,0,"Thriller, Action, Science Fiction", Released,78
85,117480000,457839055.6,"Action, Horror, Thriller", Released,61
86,23000000,4311284,"Action, Drama, History", Released,72
87,134400000,716009340.2,"Family, Animation", Released,73
88,42000000,20844907,"Action, Adventure, Comedy, Family, Science Fiction", Released,43
89,104580000,260353036.4,"Crime, Thriller, Drama", Released,64
90,165000000,1001978080,"Adventure, Action, Science Fiction", Released,69
91,51000000,455134472.8,"Animation, Family, Adventure", Released,68
92,85000000,363563907,"Action, Comedy, Fantasy", Released,70
93,100000000,246367071,Comedy, Released,65
94,20000000,326479707.4,"Drama, War, History", Released,78
